flat_id,destination_id,pt_total,pt_walk,pt_bus,pt_rail,pt_transit,pt_transfers,pt_fare,drive_total,cycle_total,walk_total
"R44","D01","33","9","8","9","17","1","1.86","19","93","112"
"R44","D02","37","21","14","0","14","0","1.49","13","38","62"
"R44","D03","42","9","1","29","30","1","2.24","28","181","218"
"R44","D04","48","15","1","29","30","1","2.24","29","183","224"
"R44","D05","35","17","1","14","16","1","1.86","21","110","130"
"R44","D06","81","15","8","51","60","1","2.48","43","308","378"
"R44","D07","23","5","16","0","16","0","1.49","14","57","57"
"R44","D08","62","17","9","28","37","1","2.3","33","154","233"
"R44","D09","50","12","1","30","31","1","2.2","30","168","186"
"R44","D10","53","27","1","23","24","1","2.07","25","148","200"
"R45","D01","35","10","9","9","18","1","1.4","16","88","111"
"R45","D02","40","14","23","0","23","0","1.68","12","49","68"
"R45","D03","44","9","2","29","31","1","2.24","26","175","216"
"R45","D04","51","16","2","29","31","1","2.24","27","178","223"
"R45","D05","38","18","2","14","16","1","1.9","19","105","129"
"R45","D06","83","16","9","51","61","1","2.48","41","303","376"
"R45","D07","22","4","18","0","18","0","1.49","11","52","56"
"R45","D08","69","12","25","23","49","1","2.36","32","149","228"
"R45","D09","53","13","2","30","32","1","2.2","27","162","185"
"R45","D10","56","27","2","23","25","1","1.69","23","143","198"
"R46","D01","9","2","7","0","7","0","1.28","7","54","27"
"R46","D02","44","18","8","14","22","1","1.94","21","98","148"
"R46","D03","25","5","0","19","19","0","1.94","16","168","134"
"R46","D04","31","12","0","19","19","0","1.94","17","170","141"
"R46","D05","18","13","0","4","4","0","1.28","8","98","46"
"R46","D06","63","12","7","41","48","1","2.4","37","296","306"
"R46","D07","20","11","9","0","9","0","1.28","9","18","39"
"R46","D08","56","8","11","28","40","1","2.03","31","141","241"
"R46","D09","31","8","0","20","20","0","1.9","18","155","105"
"R46","D10","35","16","1","13","14","1","1.82","13","135","116"
"R47","D01","37","37","0","0","0","0","0.0","10","66","37"
"R47","D02","53","20","15","12","27","1","1.98","24","110","143"
